2026학년도 1학기 시간표(강의실별),,,,,,,
정보공학관 916 소프트웨어공학실습실,,,,,,,
구분,월,화,수,목,금,토,
1교시 (09:00 - 09:50),,,"(학)      소프트웨어공학(키
이종민",,,,
2교시 (10:00 - 10:50),"(학)      머신러닝
권오준",,"(학)      소프트웨어공학(키
이종민","(학)      객체지향설계
이종민",,,
3교시 (11:00 - 11:50),"(학)      머신러닝
권오준",,"(학)      소프트웨어공학(키
이종민","(학)      객체지향설계
이종민",,,
4교시 (12:00 - 12:50),"(학)      머신러닝
권오준","(학)      객체지향설계
이종민","(학)      소프트웨어공학(키
이종민",,,,
5교시 (13:00 - 13:50),,"(학)      객체지향설계
이종민","(학)      임베디드소프트웨어
김성우",,,,
6교시 (14:00 - 14:50),,,"(학)      임베디드소프트웨어
김성우","(대)      소프트웨어공학개론
이종민","(대)      인공지능특강
권오준",,
7교시 (15:00 - 15:50),,,"(학)      임베디드소프트웨어
김성우","(대)      소프트웨어공학개론
이종민","(대)      인공지능특강
권오준",,
8교시 (16:00 - 16:50),,"(학)      지도교수멘토링Ⅶ
이중화",,"(대)      소프트웨어공학개론
이종민","(대)      인공지능특강
권오준",,
9교시 (17:00 - 17:50),,,,,,,
1교시 (18:00 - 18:45),,,,,,,
2교시 (18:50 - 19:35),,,,,,,
3교시 (19:40 - 20:25),,,,,,,
4교시 (20:30 - 21:15),,,,,,,
5교시 (21:20 - 22:05),,,,,,,
"▣ 범례 : (학) 학부, (대) 대학원, (행) 행정, (경) 경영, (산) 산업기술, (교) 교육, (중) 중소기업, (영) 영상대학원, ※ 팀티칭강좌",,,,,,,
